model	class	correct	TP	FP	TN	FN	diso_correct	diso_TP	diso_FP	diso_TN	diso_FN	Precision	Recall	Neg_Precision	Neg_Recall	Balanced Acc.	F1	MCC	D Precision	D Recall	D Neg_Precision	D Neg_Recall	D Balanced Acc.	D F1	D MCC	SE_Precision	SE_Recall	SE_Neg_Precision	SE_Neg_Recall	SE_Balanced Acc.	SE_F1	SE_MCC	SE_D Precision	SE_D Recall	SE_D Neg_Precision	SE_D Neg_Recall	SE_D Balanced Acc.	SE_D F1	SE_D MCC	
mobidb_CNN_0	-	924953.0	34442.0	37443.0	890511.0	30954.0	108125.0	34442.0	36704.0	73683.0	30954.0	0.47912638241635946	0.5266682977552144	0.9664078396900587	0.959649939544417	0.7431591186498157	0.5017737341656894	0.46547977136655017	0.4841031119107188	0.5266682977552144	0.7041772986610855	0.6674970784603259	0.5970826881077702	0.5044894611181907	0.1912002530141913	0.01325093639607035	0.013714326404955554	0.00424723029511295	0.0035715221711897765	0.007057715238207954	0.011818123863445803	0.013904673308514982	0.013492105042524925	0.013714326404955554	0.010128457787210957	0.008034558285794819	0.010950216648728807	0.011889331073451819	0.024538721127280172	
mobidb_CNN_1	-	920309.0	40302.0	47947.0	880007.0	25094.0	104485.0	40302.0	46204.0	64183.0	25094.0	0.45668506158710015	0.6162762248455563	0.9722749173849107	0.9483304129299512	0.7823033188877537	0.524611930098604	0.4921317419834241	0.46588675929993295	0.6162762248455563	0.7189197665692172	0.581436219844728	0.5988562223451421	0.5306315914207844	0.19115059514505298	0.012178554908704446	0.01361030361246304	0.004121413357729206	0.0038709873429946555	0.007057411820371466	0.01134820974381137	0.01313804496665967	0.012534129798916036	0.01361030361246304	0.010168778117263392	0.008716833708632528	0.011414337384125455	0.011449620900111914	0.02427808937199521	
mobidb_CNN_2	-	919570.0	35557.0	43941.0	884013.0	29839.0	105234.0	35557.0	40710.0	69677.0	29839.0	0.44726911368839467	0.5437182702305952	0.9673481045070755	0.9526474372652093	0.7481828537479023	0.49080017115960634	0.4536537984515691	0.4662173679310842	0.5437182702305952	0.700158768439246	0.6312065732377907	0.5874624217341929	0.5019941692608515	0.17059695076833822	0.012222923007231174	0.01358045910311878	0.004166471976738064	0.0038309061695647336	0.006786229119752866	0.011924931856255698	0.013395606847604663	0.012829705592490206	0.01358045910311878	0.010171609465591393	0.0085890753982021	0.010549394605050713	0.012135235366063906	0.022666191927025216	
mobidb_FNN_0	-	920648.0	38418.0	45724.0	882230.0	26978.0	103692.0	38418.0	45113.0	65274.0	26978.0	0.4565852962848518	0.58746712337146	0.9703280217507985	0.9507260058149434	0.7690965645932017	0.5138225735264615	0.47933476248333673	0.4599250577629862	0.58746712337146	0.7075618956770585	0.5913196300288983	0.5893933767001791	0.5159306237284039	0.17304464349543608	0.011003259216201126	0.011679766207460585	0.002331962284643939	0.00229576054090499	0.005985465792748227	0.0106962572471478	0.01128642640288052	0.011336497985528259	0.011679766207460585	0.009963896740692273	0.007814570871752786	0.008417369757381967	0.010735831904700274	0.015570149732710878	
mobidb_FNN_1	-	896848.0	54717.0	85823.0	842131.0	10679.0	80758.0	54717.0	84346.0	26041.0	10679.0	0.3893339974384517	0.8367025506147165	0.9874778672857963	0.9075137345170127	0.8721081425658646	0.5313981042654028	0.5295559707515718	0.39346914707722397	0.8367025506147165	0.709177559912854	0.2359064020219772	0.5363044763183469	0.5352368934603026	0.08633116404957802	0.009977847140234317	0.011400312236561405	0.0016892330985263998	0.0033430052870741154	0.005866079202368058	0.011269760631052356	0.011202194523896196	0.01042813669804451	0.011400312236561405	0.013159082233949048	0.009459014913392912	0.0039972648895315885	0.01136207803156759	0.013154079703361517	
mobidb_FNN_2	-	893066.0	46032.0	80920.0	847034.0	19364.0	96084.0	46032.0	60335.0	50052.0	19364.0	0.3625937362152625	0.703896262768365	0.9776499945752414	0.9127974015953377	0.8083468321818514	0.4786324786324786	0.45806784772342735	0.4327658014233738	0.703896262768365	0.7210441396796128	0.45342295741346356	0.5786596100909143	0.535994364327591	0.15555468488777452	0.008896036539813247	0.01229542028013111	0.0020495193438882183	0.003091804203056344	0.006100839280625479	0.01071840588621068	0.010974742515395918	0.01107298092258571	0.01229542028013111	0.010099748575879286	0.009059307092809476	0.008270856647390001	0.011080168237698317	0.015931908586741646	
mobidb_FNN_3	-	915536.0	45307.0	57725.0	870229.0	20089.0	99136.0	45307.0	56558.0	53829.0	20089.0	0.43973716903486293	0.6928099577955839	0.9774361520265793	0.9377932526827838	0.8153016052391838	0.5379984325646567	0.5129043142607286	0.44477494723408434	0.6928099577955839	0.7282258719121188	0.4876389429914754	0.5902244503935297	0.5417521119687195	0.17668561811928327	0.010580762580028266	0.011219766660011071	0.0020763006438195473	0.002695534513936997	0.005819203827227164	0.010532011100191757	0.011127008374607323	0.010967113958818124	0.011219766660011071	0.010044639766748534	0.008459961326547883	0.008352657778154401	0.010545412168826011	0.015488593657850172	
mobidb_FNN_4	-	905315.0	46316.0	68955.0	858999.0	19080.0	93395.0	46316.0	63308.0	47079.0	19080.0	0.4018009733584336	0.7082390360266683	0.9782707478484283	0.9256913597010197	0.8169651978638439	0.5127223012503667	0.49085539278851714	0.42249872290739254	0.7082390360266683	0.7116038634199429	0.4264904381856559	0.5673647371061621	0.5292652268312193	0.13441566481029923	0.009915839740232982	0.01107819402416877	0.0020603549710477265	0.0029276559011782387	0.005754155269747866	0.010559400187487633	0.011000287293581285	0.010689335577791717	0.01107819402416877	0.010340815789321767	0.008787088717019822	0.007736616007975129	0.010693681298714659	0.015087227377584531	
mobidb_FNN_5	-	905264.0	44785.0	67475.0	860479.0	20611.0	99254.0	44785.0	55918.0	54469.0	20611.0	0.3989399608052735	0.6848278182151813	0.976607384035683	0.927286266345099	0.8060570422801402	0.5041766109785204	0.47945575311634964	0.44472359314022425	0.6848278182151813	0.7254794885455514	0.493436727150842	0.5891322726830117	0.5392567083486355	0.17418718373236	0.009146827055693307	0.01158275167929479	0.0020976927606452325	0.0027805465561057136	0.005951402679069045	0.010485183405022813	0.010967155940035946	0.010992683418037644	0.01158275167929479	0.010131835274731948	0.008708538098860099	0.008819808155802534	0.010675170471640556	0.01636259396793729	
mobidb_D_CNN_0	-	104454.0	42221.0	48154.0	62233.0	23175.0	104454.0	42221.0	48154.0	62233.0	23175.0	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.46717565698478564	0.645620527249373	0.7286553952791308	0.563771096234158	0.6046958117417656	0.5420906330446617	0.20249785668502684	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	0.011215347949028212	0.013147916797828953	0.008001776635575851	0.007378665486852911	0.012314743380011135	0.010387313937358575	0.028555977092049385	
mobidb_D_CNN_1	-	97452.0	47274.0	60209.0	50178.0	18122.0	97452.0	47274.0	60209.0	50178.0	18122.0	0.43982769368179153	0.7228882500458743	0.7346705710102489	0.45456439616983885	0.5887263231078566	0.546902747008023	0.17596925535346375	0.43982769368179153	0.7228882500458743	0.7346705710102489	0.45456439616983885	0.5887263231078566	0.546902747008023	0.17596925535346375	0.010021179929194627	0.012671854962636087	0.007915472959727995	0.007675401996480817	0.012174961221794376	0.009903524777927787	0.024824032938729604	0.010021179929194627	0.012671854962636087	0.007915472959727995	0.007675401996480817	0.012174961221794376	0.009903524777927787	0.024824032938729604	
mobidb_D_CNN_2	-	101639.0	41245.0	49993.0	60394.0	24151.0	101639.0	41245.0	49993.0	60394.0	24151.0	0.45205944891382976	0.6306960670377393	0.7143414749541664	0.547111525813728	0.5889037964257336	0.5266417252959127	0.1720097314724626	0.45205944891382976	0.6306960670377393	0.7143414749541664	0.547111525813728	0.5889037964257336	0.5266417252959127	0.1720097314724626	0.011089059664066783	0.01344162369880569	0.008145739777537797	0.007771146370927208	0.011966728001567815	0.01060382980675676	0.0290359585667063	0.011089059664066783	0.01344162369880569	0.008145739777537797	0.007771146370927208	0.011966728001567815	0.01060382980675676	0.0290359585667063	
mobidb_D_FNN_0	-	101591.0	38134.0	46930.0	63457.0	27262.0	101591.0	38134.0	46930.0	63457.0	27262.0	0.44829775228063573	0.5831243501131568	0.6994896328222313	0.5748593584389466	0.5789918542760517	0.5068988435464575	0.1528005208622301	0.44829775228063573	0.5831243501131568	0.6994896328222313	0.5748593584389466	0.5789918542760517	0.5068988435464575	0.1528005208622301	0.017567521679635118	0.01918653813211512	0.01425315710756271	0.015756342891743248	0.00713638711014988	0.01596840366713662	0.012845005183785597	0.017567521679635118	0.01918653813211512	0.01425315710756271	0.015756342891743248	0.00713638711014988	0.01596840366713662	0.012845005183785597	
mobidb_D_FNN_1	-	71968.0	49565.0	87984.0	22403.0	15831.0	71968.0	49565.0	87984.0	22403.0	15831.0	0.3603443136627674	0.757920973759863	0.5859444473505258	0.20294962269107775	0.4804352982254704	0.4884574638448841	-0.04584417896997193	0.3603443136627674	0.757920973759863	0.5859444473505258	0.20294962269107775	0.4804352982254704	0.4884574638448841	-0.04584417896997193	0.01728878372042406	0.021689316718604808	0.025012109493329684	0.020808753631422032	0.002535020106742342	0.016531362502573112	0.0182976534841013	0.01728878372042406	0.021689316718604808	0.025012109493329684	0.020808753631422032	0.002535020106742342	0.016531362502573112	0.0182976534841013	
mobidb_D_FNN_2	-	98026.0	45324.0	57685.0	52702.0	20072.0	98026.0	45324.0	57685.0	52702.0	20072.0	0.4400003883155841	0.6930699125328766	0.7241872097177563	0.47742940744834084	0.5852496599906087	0.5382738042219649	0.16731369882359906	0.4400003883155841	0.6930699125328766	0.7241872097177563	0.47742940744834084	0.5852496599906087	0.5382738042219649	0.16731369882359906	0.016065333392169368	0.012548474539749988	0.014087903957953783	0.01089008420847028	0.007731992869437035	0.01375248787638158	0.01386407543244814	0.016065333392169368	0.012548474539749988	0.014087903957953783	0.01089008420847028	0.007731992869437035	0.01375248787638158	0.01386407543244814	
mobidb_D_FNN_3	-	104342.0	35909.0	41954.0	68433.0	29487.0	104342.0	35909.0	41954.0	68433.0	29487.0	0.46118181934937	0.5491008624380697	0.6988664215686274	0.6199371302780219	0.5845189963580457	0.5013157986583741	0.16448171139223872	0.46118181934937	0.5491008624380697	0.6988664215686274	0.6199371302780219	0.5845189963580457	0.5013157986583741	0.16448171139223872	0.018982605872846343	0.02296568883098168	0.014760091220926846	0.01980499238926122	0.005588588612785117	0.01731702321662855	0.011905804945861612	0.018982605872846343	0.02296568883098168	0.014760091220926846	0.01980499238926122	0.005588588612785117	0.01731702321662855	0.011905804945861612	
mobidb_D_FNN_4	-	86764.0	52535.0	76158.0	34229.0	12861.0	86764.0	52535.0	76158.0	34229.0	12861.0	0.4082195612814994	0.8033365955104288	0.726884688893608	0.3100818031108736	0.5567091993106512	0.5413495870451185	0.1237873487146101	0.4082195612814994	0.8033365955104288	0.726884688893608	0.3100818031108736	0.5567091993106512	0.5413495870451185	0.1237873487146101	0.015514086579017986	0.01492531865584	0.01590313293214341	0.01543086828758738	0.005438927682647036	0.014104358439979424	0.01239871006834879	0.015514086579017986	0.01492531865584	0.01590313293214341	0.01543086828758738	0.005438927682647036	0.014104358439979424	0.01239871006834879	
random_binary	-	876110.0	3979.0	55823.0	872131.0	61417.0	107655.0	3979.0	6711.0	103676.0	61417.0	0.06653623624627938	0.060844699981650256	0.9342112028519155	0.9398429232483507	0.5003438116150005	0.06356331570791865	0.0007169075860456079	0.37221702525724976	0.060844699981650256	0.6279854385104153	0.9392047976663919	0.500024748824021	0.10459217201587677	0.0001001073439522347	0.003372349039133225	0.0015635341809978347	0.003201167557521417	0.0002596916655857294	0.0008289553758565674	0.0015129103831750597	0.0016865994997739163	0.01095374532951558	0.0015635341809978347	0.010009705304680597	0.0013653423198916328	0.001709024406457446	0.002156848643713989	0.0047343309928652875	
AAindex_D_baseline	-	79155.0	59485.0	90717.0	19670.0	5911.0	79155.0	59485.0	90717.0	19670.0	5911.0	0.39603334176642124	0.9096122086977797	0.7689300652828271	0.1781912725230326	0.5439017406104062	0.5518140242488334	0.12035099257160238	0.39603334176642124	0.9096122086977797	0.7689300652828271	0.1781912725230326	0.5439017406104062	0.5518140242488334	0.12035099257160238	0.008460952300890804	0.009691601128595519	0.007724473394282808	0.006630025387361937	0.011847570928965333	0.008252378390311082	0.0176645566358498	0.008460952300890804	0.009691601128595519	0.007724473394282808	0.006630025387361937	0.011847570928965333	0.008252378390311082	0.0176645566358498	
random_d_only	-	93822.0	24173.0	40738.0	69649.0	41223.0	93822.0	24173.0	40738.0	69649.0	41223.0	0.37240221225986353	0.36964034497522785	0.628192871058518	0.6309529201808184	0.5002966325780231	0.37101613881065487	0.0005941735417704786	0.37240221225986353	0.36964034497522785	0.628192871058518	0.6309529201808184	0.5002966325780231	0.37101613881065487	0.0005941735417704786	0.014554112302413888	0.0031373822909310585	0.014511142046782041	0.0020071090842346483	0.0019367682689043803	0.007598466175185373	0.0025042435842236453	0.014554112302413888	0.0031373822909310585	0.014511142046782041	0.0020071090842346483	0.0019367682689043803	0.007598466175185373	0.0025042435842236453	
